Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Langzeitarbeitslose;Arbeitslosenquote Jüngere;Arbeitslosenquote Ältere;Beschäftigtenquote;Erwerbsquote;Erwerbstätigendichte;Selbständige;Kurzarbeiter;Unterbeschäftigung;Aufstocker;Industriequote;Dienstleistungsquote;Beschäftigte Primärer Sektor;Beschäftigte Sekundärer Sektor;Beschäftigte Tertiärer Sektor;Haushaltseinkommen;Bruttoverdienst ;Medianeinkommen;Einkommensteuer;Gewerbesteuer;Umsatzsteuer
;;;2017;2017;2017;2017;2017;2017;2016;2016;2017;2017;2017;2017;2017;2017;2017;2017;2016;2016;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"8,9";"31,8";"7,9";"8,1";"51,8";"85,0";"1.055,0";"74,5";"2,1";"12,8";"24,8";"11,4";"60,2";"0,04";"15,9";"84,0";"1.527";"2.333";"2.986";"371,4";"529,0";"78,1"
"01002";"Kiel, Stadt";"krsfr. Stadt";"9,1";"37,8";"6,6";"8,8";"51,5";"79,2";"1.435,8";"67,7";"0,9";"13,6";"26,0";"10,9";"59,8";"0,05";"15,3";"84,6";"1.564";"2.700";"3.304";"399,2";"504,8";"87,5"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"8,6";"36,3";"7,0";"8,5";"56,1";"81,1";"589,4";"85,6";"0,4";"12,5";"29,2";"15,8";"52,5";"0,13";"23,1";"76,7";"1.630";"2.593";"3.036";"375,7";"489,2";"80,8"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"9,2";"38,3";"9,5";"8,9";"56,2";"82,1";"709,7";"78,1";"0,5";"12,2";"27,7";"16,1";"59,1";"0,89";"21,2";"77,9";"1.572";"2.464";"2.842";"337,3";"644,2";"73,8"
"01051";"Dithmarschen";"Landkreis";"6,8";"30,5";"7,6";"6,3";"55,8";"81,1";"41,9";"130,9";"0,3";"9,7";"26,3";"13,0";"33,7";"3,86";"26,7";"69,5";"1.793";"2.317";"2.914";"366,3";"647,9";"46,8"
"01053";"Herzogtum Lauenburg";"Landkreis";"5,5";"35,9";"6,4";"6,3";"58,2";"82,1";"54,9";"136,0";"0,7";"7,5";"27,4";"10,1";"27,2";"1,55";"26,7";"71,8";"1.903";"2.404";"2.832";"474,9";"407,4";"36,0"
"01054";"Nordfriesland";"Landkreis";"6,1";"41,1";"5,4";"8,4";"58,0";"87,9";"43,7";"143,0";"3,0";"7,6";"29,3";"10,2";"45,1";"2,28";"18,0";"79,7";"2.026";"2.342";"2.768";"373,6";"716,6";"54,4"
"01055";"Ostholstein";"Landkreis";"5,6";"33,7";"5,8";"6,9";"58,1";"84,1";"65,0";"132,9";"0,4";"7,5";"32,8";"10,0";"38,5";"1,58";"20,3";"78,1";"1.875";"2.167";"2.636";"410,6";"422,5";"42,0"
"01056";"Pinneberg";"Landkreis";"5,0";"31,6";"4,6";"6,2";"61,8";"85,5";"193,2";"124,4";"2,1";"7,0";"27,9";"13,2";"31,2";"2,17";"29,0";"68,8";"2.000";"2.590";"3.036";"543,0";"749,0";"49,7"
"01057";"Plön";"Landkreis";"5,0";"32,7";"5,5";"6,2";"56,3";"82,1";"40,2";"148,0";"0,0";"7,1";"31,1";"7,8";"25,0";"3,13";"23,1";"73,8";"1.861";"2.083";"2.771";"450,7";"277,8";"29,3"
"01058";"Rendsburg-Eckernförde";"Landkreis";"4,9";"31,7";"5,5";"5,4";"56,0";"80,3";"52,2";"122,7";"0,9";"6,8";"27,9";"10,8";"32,5";"2,48";"24,3";"73,2";"1.921";"2.314";"2.945";"460,4";"371,3";"38,9"
