Kennziffer;Raumeinheit;Aggregat;Apotheken;Krankenhausbetten;Entwicklung Krankenhausbetten;Pflegebedürftige;Ambulante Pflege;Stationäre Pflege;Personal in Pflegeheimen;Personal in Pflegediensten;Pflegeheimplätze;Vorzeitige Sterblichkeit;Ärzteversorgung
;;;2017;2016;2012-2016;2017;2017;2017;2017;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"27,1";"9,47";"-2,4";"369,1";"29,6";"30,1";"100,3";"55,7";"123,9";"1,9";"67,8"
"01002";"Kiel, Stadt";"krsfr. Stadt";"31,5";"9,84";"7,3";"295,2";"30,1";"26,0";"74,6";"67,8";"88,6";"1,7";"108,1"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"27,3";"9,15";"16,0";"393,9";"20,5";"36,0";"120,0";"44,7";"156,1";"2,0";"87,4"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"32,8";"8,62";"7,5";"448,4";"23,8";"30,4";"126,6";"51,9";"158,6";"2,4";"70,6"
"01051";"Dithmarschen";"Landkreis";"21,7";"5,26";"0,0";"411,9";"23,6";"28,8";"125,9";"43,7";"130,8";"1,9";"47,2"
"01053";"Herzogtum Lauenburg";"Landkreis";"19,9";"3,14";"12,7";"406,7";"25,6";"28,4";"111,1";"56,2";"126,2";"1,7";"41,8"
"01054";"Nordfriesland";"Landkreis";"29,6";"4,39";"-0,1";"370,4";"27,7";"27,2";"98,9";"44,5";"111,5";"1,7";"49,6"
"01055";"Ostholstein";"Landkreis";"30,4";"8,24";"-5,2";"440,9";"19,5";"36,3";"134,1";"34,8";"176,8";"1,9";"59,8"
"01056";"Pinneberg";"Landkreis";"24,0";"3,11";"0,1";"358,6";"26,2";"27,3";"86,0";"39,8";"115,4";"1,5";"48,0"
"01057";"Plön";"Landkreis";"23,3";"1,93";"10,2";"335,1";"19,6";"26,8";"87,8";"27,5";"99,8";"1,4";"46,6"
"01058";"Rendsburg-Eckernförde";"Landkreis";"26,4";"4,11";"-1,5";"360,4";"25,0";"30,6";"105,6";"34,0";"121,3";"1,5";"54,2"
"01059";"Schleswig-Flensburg";"Landkreis";"24,1";"3,47";"3,5";"394,6";"24,1";"33,9";"130,7";"51,6";"147,8";"2,0";"36,1"
