Kennziffer;Raumeinheit;Aggregat;Bildungsrelevante Bevölkerung;Schulabgänger mit Hauptschulabschluss;Schulabgänger mit Hochschulreife;Schulabgänger ohne Abschluss;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Beschäftigte am Wohnort 30-<35 Jahre mit akademischem Abschluss ;Hochqualifizierte
;;;2017;2017;2017;2017;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"9,8";"11,6";"47,4";"8,5";"15,7";"14,0";"2,91";"13,1"
"01002";"Kiel, Stadt";"krsfr. Stadt";"9,4";"14,4";"46,5";"7,3";"13,9";"20,5";"4,56";"17,8"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"10,0";"17,6";"36,8";"11,1";"12,8";"14,2";"2,81";"11,5"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"11,3";"15,7";"44,5";"7,2";"15,0";"6,9";"0,92";"8,5"
"01051";"Dithmarschen";"Landkreis";"11,2";"16,5";"30,0";"8,6";"12,7";"6,8";"0,96";"7,1"
"01053";"Herzogtum Lauenburg";"Landkreis";"11,8";"19,2";"33,6";"9,6";"10,8";"10,6";"1,11";"9,6"
"01054";"Nordfriesland";"Landkreis";"11,1";"19,7";"26,2";"7,3";"11,7";"6,9";"0,96";"6,9"
"01055";"Ostholstein";"Landkreis";"10,3";"20,0";"30,7";"8,4";"10,6";"8,0";"0,92";"7,4"
"01056";"Pinneberg";"Landkreis";"11,5";"14,7";"39,8";"6,9";"11,4";"12,7";"1,49";"11,4"
"01057";"Plön";"Landkreis";"11,2";"18,7";"26,7";"8,1";"10,7";"11,0";"1,11";"8,9"
"01058";"Rendsburg-Eckernförde";"Landkreis";"11,8";"18,6";"37,1";"6,9";"11,0";"11,7";"1,33";"10,1"
"01059";"Schleswig-Flensburg";"Landkreis";"11,8";"21,6";"27,1";"8,4";"12,3";"8,3";"1,09";"7,0"
"01060";"Segeberg";"Landkreis";"11,6";"17,0";"35,5";"6,9";"11,4";"10,6";"1,37";"10,9"
"01061";"Steinburg";"Landkreis";"11,3";"19,0";"34,0";"7,7";"12,1";"8,3";"0,98";"9,0"
"01062";"Stormarn";"Landkreis";"11,8";"12,8";"50,9";"4,5";"9,8";"14,4";"1,57";"10,7"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"10,3";"18,5";"52,8";"5,3";"12,6";"24,7";"5,24";"22,6"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"9,4";"10,9";"45,3";"6,3";"10,7";"27,6";"5,98";"19,9"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"11,5";"14,6";"24,6";"8,2";"14,4";"7,3";"1,13";"10,1"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"10,2";"12,0";"40,6";"4,2";"8,8";"17,1";"3,51";"23,2"
"03151";"Gifhorn";"Landkreis";"12,0";"12,9";"28,1";"5,3";"10,0";"13,4";"1,95";"14,1"
"03153";"Goslar";"Landkreis";"9,5";"16,1";"26,9";"5,2";"11,1";"10,8";"1,84";"10,2"
"03154";"Helmstedt";"Landkreis";"10,5";"12,0";"33,7";"7,0";"9,1";"10,4";"1,66";"9,2"
"03155";"Northeim";"Landkreis";"10,4";"14,1";"36,7";"4,4";"12,0";"8,4";"1,13";"9,5"
"03157";"Peine";"Landkreis";"11,9";"12,1";"33,7";"3,7";"11,8";"10,4";"1,38";"8,3"
"03158";"Wolfenbüttel";"Landkreis";"10,9";"14,3";"33,8";"5,5";"10,2";"14,5";"1,76";"12,3"
"03159";"Göttingen";"Landkreis";"10,2";"13,2";"43,7";"4,2";"11,7";"18,7";"3,56";"16,6"
"03241";"Region Hannover";"Landkreis";"10,8";"11,9";"40,3";"5,3";"12,2";"18,5";"3,22";"16,9"
"03251";"Diepholz";"Landkreis";"11,5";"11,1";"31,5";"4,1";"11,1";"8,9";"1,08";"7,7"
"03252";"Hameln-Pyrmont";"Landkreis";"10,7";"16,3";"30,3";"5,0";"11,4";"9,6";"1,29";"10,5"
"03254";"Hildesheim";"Landkreis";"10,7";"11,6";"34,4";"6,4";"11,4";"12,8";"1,79";"12,8"
"03255";"Holzminden";"Landkreis";"10,5";"21,9";"23,8";"5,2";"13,6";"8,6";"1,11";"9,2"
"03256";"Nienburg (Weser)";"Landkreis";"11,7";"20,1";"27,6";"6,0";"13,7";"7,1";"0,96";"6,9"
"03257";"Schaumburg";"Landkreis";"10,9";"15,1";"39,0";"4,8";"10,9";"10,0";"1,23";"8,2"
"03351";"Celle";"Landkreis";"11,8";"16,3";"24,6";"7,7";"11,5";"9,6";"1,29";"11,1"
"03352";"Cuxhaven";"Landkreis";"11,2";"16,5";"24,6";"7,2";"12,0";"7,7";"0,91";"7,0"
"03353";"Harburg";"Landkreis";"11,7";"11,8";"37,6";"3,8";"10,0";"13,1";"1,40";"8,9"
"03354";"Lüchow-Dannenberg";"Landkreis";"10,8";"12,9";"24,1";"8,4";"9,7";"8,7";"0,96";"7,8"
"03355";"Lüneburg";"Landkreis";"11,7";"13,3";"37,4";"4,9";"11,2";"16,4";"2,18";"13,1"
"03356";"Osterholz";"Landkreis";"11,4";"12,2";"34,2";"3,6";"10,5";"11,5";"1,21";"8,0"
"03357";"Rotenburg (Wümme)";"Landkreis";"12,1";"14,2";"29,9";"5,6";"12,5";"8,0";"1,05";"7,7"
"03358";"Heidekreis";"Landkreis";"11,6";"11,3";"31,7";"6,3";"12,8";"7,3";"0,96";"6,9"
"03359";"Stade";"Landkreis";"12,0";"14,1";"28,7";"4,8";"12,2";"10,8";"1,29";"9,6"
"03360";"Uelzen";"Landkreis";"10,8";"13,5";"30,7";"5,9";"11,0";"9,1";"1,25";"9,1"
"03361";"Verden";"Landkreis";"11,7";"12,4";"33,4";"4,0";"12,5";"10,9";"1,42";"10,2"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"11,3";"16,9";"26,9";"9,9";"13,8";"6,8";"0,82";"8,8"
"03402";"Emden, Stadt";"krsfr. Stadt";"11,1";"10,2";"32,0";"8,7";"12,5";"10,6";"1,65";"8,3"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"10,3";"12,9";"46,6";"5,4";"11,7";"22,1";"4,14";"17,6"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"9,7";"10,5";"43,7";"4,7";"13,8";"21,3";"4,41";"15,9"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"9,4";"17,4";"34,3";"4,0";"13,6";"9,1";"1,41";"9,9"
"03451";"Ammerland";"Landkreis";"12,0";"16,3";"26,1";"5,5";"10,6";"9,9";"1,34";"7,5"
"03452";"Aurich";"Landkreis";"11,6";"19,7";"26,8";"8,1";"11,4";"7,4";"1,17";"8,9"
"03453";"Cloppenburg";"Landkreis";"13,9";"20,8";"19,7";"6,2";"15,9";"6,0";"1,07";"5,9"
"03454";"Emsland";"Landkreis";"12,5";"13,6";"26,3";"7,5";"11,2";"8,7";"1,51";"8,7"
"03455";"Friesland";"Landkreis";"11,0";"20,8";"23,5";"9,3";"10,4";"8,8";"1,01";"8,5"
"03456";"Grafschaft Bentheim";"Landkreis";"12,5";"16,0";"26,0";"5,9";"11,4";"7,5";"1,12";"7,0"
"03457";"Leer";"Landkreis";"11,9";"20,1";"18,9";"9,2";"11,6";"7,7";"1,13";"7,9"
"03458";"Oldenburg";"Landkreis";"12,0";"18,3";"13,7";"7,7";"11,1";"9,6";"1,12";"7,4"
"03459";"Osnabrück";"Landkreis";"12,2";"16,2";"24,0";"6,8";"12,4";"9,0";"1,30";"7,7"
"03460";"Vechta";"Landkreis";"13,4";"15,4";"27,5";"8,8";"14,9";"8,5";"1,55";"8,2"
"03461";"Wesermarsch";"Landkreis";"11,3";"16,4";"26,8";"4,1";"12,6";"6,9";"0,83";"8,5"
