Kennziffer;Raumeinheit;Aggregat;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte;Freifläche je Einwohner;Erreichbarkeit von Autobahnen;Erreichbarkeit von Flughäfen;Erreichbarkeit von IC/EC/ICE-Bahnhöfen;Erreichbarkeit von Oberzentren;Erreichbarkeit von Mittelzentren;Nahversorgung Apotheken Durchschnittsdistanz;Nahversorgung Apotheken Anteil der Bev. 1km Radius;Nahversorgung Supermärkte Durchschnittsdistanz;Nahversorgung Supermärkte Anteil der Bev. 1km Radius;Nahversorgung Grundschulen Durchschnittsdistanz;Nahversorgung Grundschulen Anteil der Bev. 1km Radius;Nahversorgung Haltestellen des ÖV Durchschnittsdistanz;Nahversorgung Haltestellen des ÖV Anteil der Bev. 1km Radius;Einpendler;Auspendler;Pendlersaldo;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Breitbandversorgung;Mietpreise
;;;2017;2017;2017;2018;2018;2018;2018;2018;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"52,6";"2.965,5";"3,3";"5";"98";"0";"0";"0";"543";"90";"500";"92";"602";"89";"180";"100";"52,4";"34,2";"27,7";"14,0";"7,7";"3,6";"97,0";"4,0"
"01002";"Kiel, Stadt";"krsfr. Stadt";"54,4";"3.844,7";"2,5";"2";"64";"0";"0";"0";"415";"94";"460";"92";"590";"89";"193";"100";"49,1";"30,3";"27,1";"13,1";"4,6";"3,4";"97,5";"5,0"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"37,1";"2.718,6";"6,8";"3";"9";"0";"0";"0";"707";"82";"532";"90";"705";"88";"276";"99";"43,6";"31,3";"17,9";"15,0";"3,9";"3,0";"95,9";"5,0"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"50,7";"2.184,3";"5,0";"7";"47";"0";"0";"0";"645";"82";"588";"85";"682";"81";"187";"100";"54,5";"38,6";"25,9";"14,7";"4,4";"3,6";"97,9";"4,0"
"01051";"Dithmarschen";"Landkreis";"11,1";"844,5";"95,8";"14";"71";"19";"65";"14";"2.480";"41";"1.864";"51";"1.823";"50";"576";"87";"70,8";"73,5";"-15,8";"16,7";"4,0";"3,1";"71,8";"4,0"
"01053";"Herzogtum Lauenburg";"Landkreis";"11,5";"1.344,4";"57,6";"10";"30";"20";"31";"13";"2.042";"49";"1.545";"63";"1.804";"48";"343";"94";"71,7";"79,7";"-52,4";"15,6";"4,1";"2,9";"92,6";"5,0"
"01054";"Nordfriesland";"Landkreis";"10,7";"740,7";"113,5";"40";"122";"21";"55";"36";"2.559";"43";"1.445";"62";"2.000";"48";"721";"75";"66,0";"65,7";"-1,6";"15,1";"6,1";"3,2";"66,6";"6,0"
"01055";"Ostholstein";"Landkreis";"11,9";"1.208,1";"62,4";"9";"40";"14";"32";"24";"1.724";"54";"1.336";"64";"1.811";"49";"527";"88";"65,9";"70,8";"-16,7";"15,2";"4,4";"2,9";"76,7";"5,0"
"01056";"Pinneberg";"Landkreis";"21,7";"2.171,7";"17,2";"10";"30";"24";"32";"10";"1.056";"66";"807";"81";"849";"73";"330";"96";"74,2";"81,0";"-36,2";"7,2";"4,1";"3,3";"91,8";"6,0"
"01057";"Plön";"Landkreis";"9,6";"1.244,6";"77,1";"18";"58";"24";"27";"22";"2.241";"47";"1.686";"58";"1.918";"52";"551";"86";"74,3";"83,8";"-68,8";"11,4";"3,8";"2,9";"71,8";"5,0"
"01058";"Rendsburg-Eckernförde";"Landkreis";"11,2";"1.117,2";"72,1";"13";"69";"20";"27";"15";"1.918";"50";"1.428";"60";"1.679";"51";"750";"79";"77,6";"81,5";"-25,9";"12,2";"3,6";"2,7";"73,6";"4,0"
